Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
resolution,n,resolve,v,,Rec
responsible,adj,"irresponsible; responsibility","adj; n",requiring good sense,Prod
restore,v,,,,Prod
return to sth,,,,,Prod
reveal,v,,,,Rec
reverse,v,,,,Rec
review,"v, n",,,consider; scrutinize,Prod
revolution,n,revolutionary,adj,,Prod
rewrite,v,,,,Rec
rhythm,n,,,,Rec
ridiculous,adj,,,,Prod
right,n,,,law,Prod
ripe,adj,,,,Rec
rocket,n,,,,Rec
roll (sth) across /around/over etc.,,,,,Rec
roll down/in/off etc.,,,,,Rec
roommate,n,,,,Rec
row,v,,,move boat,Rec
rub,v,,,,Rec
ruin,"v, n",ruins,n,,Prod
rumor,n,,,,Prod
run,v,,,liquid,Rec
run away,,,,,Rec
run into sb,,,,,Prod
run over sb/sth or run sb/sth over,,,,,Prod
rush hour,,,,,Rec
rush to do sth,,,,,Prod
sadly,adv,sadness,n,unfortunately,Prod
satellite,n,,,,Prod
scale,n,,,measure,Rec
scene,n,,,place where something happened,Prod
scheme,n,,,,Rec
scope,n,,,,Rec
scratch,v,,,rub skin,Rec
script,n,,,,Rec
sector,n,public sector; private sector,,,Rec
see through sb/sth,,,,,Rec
seize,v,,,,Prod
self,n,,,,Rec
self-confidence,,,,,Prod
send,v,,,ask somebody to leave,Rec
senior,adj,senior,n,,Rec
sensation,n,,,,Rec
sense,n,sensation,n,feeling or understanding about yourself,Rec
sense,n,,,meaning,Prod
sentence,"n, v",,,punishment,Prod
separately,adv,separation,adj,,Prod
set a record,,,,,Prod
set an example,,,,,Rec
set sth aside or set aside sth,,,,,Prod
set sb/sth free,,,,,Prod
settle,v,settlement,n,,Prod
severe,adj,severely,adv,"bad, very seriously",Rec
severe,adj,,,strict; not kind,Rec
shade,n,,,color; hue,Rec
shallow,adj,,,,Prod
ship,v,"shipping","n, adj",send goods,Rec
shortage,n,,,,Prod
show off,,,,,Prod
side by side,,,,,Rec
simultaneously,adv,,,,Prod
sit,v,,,test/exam,Prod
slam,v,,,,Rec
slow down,,,,,Prod
smash,v,,,,Prod
sneeze,"n, v",,,,Prod
so as to,,,,,Prod
soil,n,,,,Rec
solar,adj,solar system,,,Rec
sophisticated,adj,,,,Rec
sort,v,,,separate; order,Rec
sort of,,,,,Prod
sort out sth or sort sth out,,,,,Rec
spam,n,,,,Prod
speak up,,,,,Prod
special attention / care / treatment,,,,,Rec
spirit,n,,,ghost,Rec
splendid,adj,,,,Rec
split,"v, n",,,,Rec
spokesperson,n,"spokesman; spokeswoman","n; n",,Rec
sponsor,"v, n",,,,Prod
spot,n,,,inflammation on skin,Rec
spray,"v, n",,,,Prod
spread out,,,,,Prod
stamp,v,,,mark,Prod
stand by sb,,,,,Rec
stand for sth,,,,,Rec
stand out,,,,,Prod
stand up for sth/sb,,,,,Rec
standard of living,,,,,Rec
stay out,,,,,Rec
steady,adj,steadily,,,Rec
stepfather,n,stepmother,n,,Rec
stick together,,,,,Rec
stick with sth/sb,,,,,Rec
stick (sth) in/into/through etc.,,,,,Rec
stiff,adj,,,,Rec
still,adj,,,unmoving,Prod
stimulate,v,stimulus,n,,Rec
sting,"v, n",,,,Rec
stock,n,in stock; out of stock,shop,Rec
story/storey,n,,,floor of building,Prod
straightforward,adj,,,,Prod
strain,n,,,physical tension; mental stress,Prod
strictly,adv,,,,Rec
strictly forbidden / prohibited,,,,,Rec
style,n,,,attractive quality,Rec
submit,"V, v",submission,n,,Rec
substance,n,,,,Rec
substantial,adj,substantially,adv,,Prod
substitute,"v, n",,,,Prod
subtract,v,,,,Prod
suburb,n,,,,Rec
sufficient,adj,sufficiently,adv,,Prod
suggest,v,,,imply,Prod
suicide,n,commit suicide,,,Rec
sunlight,n,,,,Prod
surgery,n,surgeon,n,,Prod
surrounding,adj,surroundings,n,,Rec
survey,"n, v",,,,Prod
sustain,v,,,,Prod
sweat,"n, v",,,,Rec
swing,"v, n",,,,Prod
symptom,n,,,,Rec
tag,n,,,piece of paper or metal with information on it tied to something large,Rec
take a deep breath,,,,,Prod
take account of sth,,,,,Prod
take advantage of sb/sth,,,,,Rec
take charge,,,,,Rec
take control,take over,,,Prod
take it for granted,,,,,Rec
take turns or take it in turns,,,,,Rec
take your breath away,,,,,Rec
take your time,,,,,Prod
take sb/sth for granted,,,,,Prod
take sb's word for it,,,,,Rec
take sth into consideration,,,,,Prod
tale,n,,,,Rec
talk over sth or talk sth over,,,,,Rec
talk sb into sth/doing sth,,,,,Prod
tell off sb or tell sb off,,,,,Rec
tempt,v,temptation,n,,Prod
tendency,n,,,,Prod
tension,n,tense,adj,"feeling; nervous; situation",Rec
the the...,det,,,to compare e.g. ""the more the merrier""",Prod
the best/worst etc. yet,,,,,Rec
the day/week/year etc. before last,,,,,Prod
the following,,,,,Rec
the former,,,,,Prod
the look of sb/sth,,,,,Prod
the media,,,,,Prod
the other way round / around,,,,,Prod
the outside,,,,,Rec
the pros and cons,,,,,Prod
the sight of sb/sth,,,,,Rec
the thing is ...,,,,,Rec
the trouble with sb/sth,,,,,Prod
theft,n,,,,Prod
therapy,n,,,,Prod
there,adv,,,at a particular point,
thigh,n,,,,Prod
think over sth or think sth over,,,,,Rec
think through sth or think sth through,,,,,Prod
thoroughly,adv,,,,Prod
those who/which/that,,,,,Prod
thread,n,,,group of pieces of writing on Internet,Rec
throughout,"prep, adv",,,,Prod
thus,adv,,,,Prod
tide,n,high/low tide,,,Rec
tighten,v,tightly,adv,,Prod
to (the best of) my knowledge,,,,,Rec
to a great/large etc. extent,,,,,Prod
to be precise,,,,,Prod
to make matters worse,,,,,Prod
to my mind,,,,,Rec
to some extent / to a certain extent,,,,,Rec
trace,n,,,,Rec
traditionally,adv,,,,Prod
trail,n,,,,Rec
transform,v,transformation,n,,Prod
transparent,adj,,,,Prod
trap,"n, v",,,,Rec
tray,n,,,,Prod
tremendous,adj,,,,Prod
trivial,adj,,,,Rec
tropical,adj,,,,Rec
trouble,n,,,extra work,Rec
turn down sb/sth or turn sb/sth down,,,,,Prod
turn to sb/sth,,,,,Prod
turn up (somewhere),,,,,Rec
tutor,n,,,,Rec
ultimate,adj,ultimately,adv,,Prod
uncertain,adj,uncertainty,n,,Prod
under,prep,,,in a particular state or condition,Prod
under attack/control/ investigation etc.,,,,,Prod
undoubtedly,adv,,,,Prod
unusually big / strong/good etc.,,,,,Prod
unwilling,adj,,,,Prod
upon,prep,,,,Rec
valid,adj,,,,Rec
value,v,,,appreciate,Rec
vanish,v,,,,Rec
vegan,n,,,,Prod
version,n,,,,Rec
versus,prep,,,,Prod
virtually,adv,virtual,adj,almost,Rec
vital,adj,,,,Rec
vitamin,n,,,,Prod
waist,n,,,,Prod
wander,v,,,,Prod
ward,n,,,,Prod
water,v,,,,Prod
whale,n,,,,Prod
What ... for?,,,,,Rec
when,,,,although,
whenever possible,not listed,,,Prod
whereas,conj,,,,Prod
wherever possible,,,,,Prod
which,pron,,,after preposition; giving opinion,Prod
while,conj,,,comparing; although,Rec
whisper,"v, n",,,,Prod
whistle,"v, n",,,,Prod
widow,n,,,,Rec
width,n,widen,v,,Prod
willingness,n,,,,Prod
wipe sth away/from/off etc.,,,,,Prod
wire,n,,,,Prod
with/in reference to sth,,,,,Prod
without (a) doubt,,,,,Prod
witness,"n, v",,,,Rec
wolf,n,,,,Prod
would appreciate,,,,,Prod
wound,"n, v",,,,Prod
x-ray,"n, v",,,,Rec
yawn,"v, n",,,,Prod
yell,"v, n",,,,Prod
you never know,,,,,Prod
