Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
issue,n,,,,Prod
it looks like/as if/as though,,,,,Prod
jam,n,traffic jam,,traffic,Rec
jog,v,jogging,n,,Rec
journalist,n,,,,Prod
judgment,n,,,good sense,Rec
jump,v,,,to make a sudden movement (in fright),Rec
jury,n,,,,Rec
just about,,,,,Rec
just about,,,,,Prod
just as bad / good / tall /clever etc (as sb/sth),,,,,Rec
justice,n,just,adj,,Prod
keen,adj,,,,Rec
keep,v,,,delay,Prod
keep on doing sth,,,,,Rec
kind of,,,,,Prod
kit,n,,,,Prod
knit,v,,,,Prod
knowledge,n,,,awareness,Rec
lack,v,,,,Rec
landscape,n,,,,Rec
laser,n,,,,Prod
laugh,n,laughter,n,,Rec
layer,n,,,,Prod
lead,n,,,winning,Rec
learn,v,,,remember,Prod
learning,n,learned,adj,,Rec
leave behind sb/sth or leave sb/sth behind,,,,,Prod
lecture,"n, v",lecture,,,Prod
let out sb/sth or let sb/sth out,,,,,Prod
let sb/sth in /past/ through etc,,,,,Prod
light,v,in light of,,illuminate,Prod
light,v,,,ignite,Prod
lightly,adv,,,,Rec
lightning,n,,,,Prod
likely,"adj, adv",,,,Rec
limited,adj,limitation,n,,Prod
liquid,"n, adj",,,,Prod
literary,adj,,,,Rec
little,adj,,,,Rec
lively,adj,,,,Rec
living,n,,,,Prod
load,v,"download; upload","v; v",computer,Rec
loaf,n,,,,Prod
loan,"n, v",,,,Prod
log in/on,,,,,Prod
log off/out,,,,,Prod
logical,adj,logic,n,,Prod
lonely,adj,,,,Prod
look,n,,,,Prod
look at sth,,,,,Prod
look forward to sth/doing sth,,,,,Rec
loose,adj,,,,Prod
lose interest / patience etc,,,,,Rec
low,adv,,,to a small amount or level,Prod
lower,v,,,height,Prod
madam,n,,,polite way of speaking to a woman,Prod
magnificent,adj,,,,Prod
make,v,,,arrive,Prod
make sense,,,,,Rec
make up sth or make sth up,,made up of,,,Prod
make up your mind or make your mind up,,,,,Rec
maker,n,,,manufacturer,Prod
mark,n,,,line; stain,Rec
marriage,n,,,,Rec
marvelous,adj,,,,Rec
mask,n,,,,Prod
mate,n,,,,Rec
material,n,,,documents; information,Rec
mayor,n,,,,Prod
mean,v,meaning,n,have significance; purpose,Rec
means,n,,,method,Prod
measure,n,,,method,Rec
melt,v,,,,Rec
membership,n,,,,Prod
mend,v,,,,Rec
mention,"v, n",,,,Prod
mess,n,,,,Prod
message,n,,,important idea,Rec
might as well,,,,,Rec
mineral water,,,,,Prod
miss,v,,,fail to do,Prod
miss,n,,,not a hit,Rec
misunderstand,v,,,,Prod
mix up sb/sth or mix sb/sth up,,,,,Prod
mixture,n,,,,Prod
modest,adj,,,not proud,Rec
monster,n,,,,Prod
monthly,adj,,,,Prod
mood,n,,,,Prod
moral,n,,,,Prod
more or less,,,,,Prod
must,v,,,modal likely,Rec
mystery,n,mysterious,adj,,Rec
naked,adj,,,,Prod
name,v,,,reveal names,Rec
name,n,,,reputation,Rec
nasty,adj,,,,Prod
native,adj,native language,,,Rec
naturally,adv,,,as expected; normally,Prod
nature,n,,,character; type,Rec
